# UFO sightings reported to the National UFO Reporting Center 
# http://www.nuforc.org/webreports
# date range: 2016-01-01 to 2016-12-31
# NOTE: Data is largely unsanitized!
#
dtime,city,state,ufoshape
2016-12-12 18:30:00,South Lake Tahoe,CA,Light
2016-12-12 17:32:00,Salem,OR,Other
2016-12-12 16:30:00,Green Valley,AZ,Disk
2016-12-12 16:30:00,Green Valley,AZ,Cone
2016-12-12 07:30:00,Eden Prarie,MN,Light
2016-12-12 06:20:00,Smithville,MO,Circle
2016-12-12 01:00:00,Tamaqua,PA,Unknown
2016-12-11 22:30:00,Casey,IA,Light
2016-12-11 20:00:00,St. George,UT,Other
2016-12-11 18:41:00,Cape Town (South Africa),,Circle
2016-12-11 18:00:00,Fort Collins,CO,Other
2016-12-11 17:45:00,Helena,MT,Sphere
2016-12-11 16:00:00,Independence,LA,Light
2016-12-11 14:00:00,Chester,PA,Formation
2016-12-11 08:56:00,Trabuco Canyon,CA,Sphere
2016-12-11 06:15:00,Gallatin Gateway,MT,Circle
2016-12-10 23:47:00,Hot Springs,SD,Circle
2016-12-10 22:10:00,Delta,CO,Fireball
2016-12-10 22:00:00,Erving,MA,Flash
2016-12-10 21:00:00,Farragut,TN,Light
2016-12-10 21:00:00,Delta,CO,Fireball
2016-12-10 20:41:00,Virginia Beach (City of),VA,Cigar
2016-12-10 20:00:00,Platanias (Greece),,Disk
2016-12-10 18:52:00,Kayenta,AZ,Disk
2016-12-10 18:30:00,Lahaina,HI,Rectangle
2016-12-10 18:15:00,Navajo,NM,Light
2016-12-10 18:00:00,Santa Fe,NM,Formation
2016-12-10 08:40:00,Arlington,VA,Oval
2016-12-10 08:37:00,Hickory/Conover,NC,Cone
2016-12-10 07:12:00,Pearland,TX,Oval
2016-12-09 22:00:00,Phoenix,AZ,Unknown
2016-12-09 21:50:00,Portland,OR,Flash
2016-12-09 21:39:00,Oldsmar,FL,Sphere
2016-12-09 21:30:00,Kingman,AZ,Triangle
2016-12-09 20:30:00,Fredericksburg,VA,Circle
2016-12-09 19:30:00,Lancing,TN,Diamond
2016-12-09 19:00:00,Tewksbury,MA,Triangle
2016-12-09 16:30:00,Newport,ME,Disk
2016-12-09 16:15:00,Fredericksburg,VA,Sphere
2016-12-09 07:15:00,Pune (India),,Cigar
2016-12-09 05:25:00,Truro (Canada),NS,Oval
2016-12-08 19:30:00,Jerseyville,IL,Triangle
2016-12-08 17:30:00,St. Clair,MO,Light
2016-12-08 17:15:00,Cromwell,CT,Circle
2016-12-08 16:00:00,Atlanta,GA,Sphere
2016-12-07 00:00:00,Saint Augustine,FL,Circle
2016-12-07 23:30:00,Anchorage,AK,Flash
2016-12-07 22:50:00,Napili,HI,Fireball
2016-12-07 22:10:00,Bellingham,WA,Fireball
2016-12-07 19:15:00,Snellville,GA,Circle
2016-12-07 19:00:00,Bend,OR,Circle
2016-12-07 19:00:00,Fishkill,NY,Triangle
2016-12-07 18:53:00,Las Vegas,NV,Other
2016-12-07 18:20:00,Riverdale,GA,Cylinder
2016-12-07 18:00:00,Plymouth,MA,Light
2016-12-07 17:15:00,Waterloo (Canada),ON,Light
2016-12-07 07:00:00,Orlando,FL,Fireball
2016-12-07 05:00:00,Pt. Sur (50 miles off),CA,Flash
