# UFO sightings reported to the National UFO Reporting Center 
# http://www.nuforc.org/webreports
# date range: 2000-01-01 to 2015-12-31
# NOTE: Data is largely unsanitized!
#
dtime,city,state,ufoshape
2015-11-30 22:00:00,Arroyo Grande,CA,Changing
2015-11-30 21:00:00,Arnold,MO,Other
2015-11-30 13:30:00,Mississauga (Canada),ON,Rectangle
2015-11-30 05:20:00,Willow Grove,PA,Cigar
2015-11-30 05:00:00,Bernville,PA,Cigar
2015-11-29 22:35:00,Hebron,CT,Light
2015-11-29 19:15:00,Brownsville (on I-5 highway),OR,Light
2015-11-29 18:50:00,Lindon,UT,Cylinder
2015-11-29 17:40:00,Savannah,GA,Diamond
2015-11-29 16:02:00,Billings,MT,Disk
2015-11-29 01:22:00,Lake Buena Vista,FL,Circle
2015-11-29 00:00:00,Victoria (Canada),BC,Triangle
2015-11-28 23:25:00,Puyallup,WA,Triangle
2015-11-28 22:50:00,Orlando,FL,Circle
2015-11-28 21:50:00,St. Fracois Xavier (Canada),MB,Light
2015-11-28 20:05:00,Montague,CA,Light
2015-11-28 20:00:00,Macomb,MI,Oval
2015-11-28 20:00:00,Dothan,AL,Triangle
2015-11-28 18:00:00,Derry,NH,Light
2015-11-28 14:20:00,Torrance,CA,Light
2015-11-28 11:30:00,Clearwater,FL,Other
2015-11-28 11:00:00,Continental Divide,NM,Circle
2015-11-28 10:00:00,Calgary (Canada),AB,Changing
2015-11-28 09:38:00,Sonoma,CA,Other
2015-11-28 06:00:00,Pine River,WI,Changing
2015-11-28 05:38:00,Pingree Grove,IL,Triangle
2015-11-28 01:00:00,Belton,SC,Unknown
2015-11-27 22:15:00,Imperial Beach,CA,Fireball
2015-11-27 20:40:00,Middletown,RI,Teardrop
2015-11-27 17:30:00,Anchorage,AK,Unknown
2015-11-27 07:15:00,Millbury,MA,Sphere
2015-11-27 05:00:00,Medford,OR,Circle
2015-11-27 02:00:00,Newark,DE,Circle
2015-11-27 00:15:00,Vancouver (Canada),BC,Light
2015-11-26 23:15:00,Mesa,AZ,Fireball
2015-11-26 23:00:00,Wake Forest,NC,Light
2015-11-26 22:50:00,Harding,NJ,
2015-11-26 22:45:00,Colts Neck,NJ,Light
2015-11-26 22:15:00,Apollo Beach,FL,Light
2015-11-26 22:00:00,Staten Island,NY,Sphere
2015-11-26 21:00:00,Laurel,DE,Fireball
2015-11-26 20:00:00,Edmonton (Canada),AB,Light
2015-11-26 20:00:00,Springfield,OR,Rectangle
2015-11-26 20:00:00,Cranford,NJ,Sphere
2015-11-26 19:50:00,Boise,ID,Light
2015-11-26 19:50:00,Bellingham,WA,Fireball
2015-11-26 19:35:00,Louisville,KY,Fireball
2015-11-26 19:00:00,Eureka,IL,Light
2015-11-26 18:25:00,Alton,NH,Cigar
2015-11-26 18:05:00,Meriden,CT,Fireball
2015-11-26 18:00:00,Montrose,PA,Unknown
2015-11-26 18:00:00,Woonsocket,RI,Rectangle
2015-11-26 17:10:00,Quakertown,PA,Fireball
2015-11-26 05:30:00,Manchester,NH,Other
2015-11-26 03:00:00,Winston-Salem,NC,Oval
2015-11-26 00:13:00,Suquamish,WA,Formation
2015-11-26 00:00:00,New York City (Brooklyn),NY,Light
2015-11-25 23:32:00,Loleta,CA,Triangle
2015-11-25 23:00:00,Ft. Myers Beach,FL,Fireball
2015-11-25 22:30:00,Salem,OR,Fireball
2015-11-25 21:00:00,Sugar Grove,OH,Triangle
2015-11-25 19:55:00,Willits,CA,Fireball
2015-11-25 19:30:00,Chicago,IL,Circle
2015-11-25 19:11:00,Dunes City,OR,Fireball
2015-11-25 19:00:00,Milford,DE,Circle
2015-11-25 17:36:00,Auburn,WA,Unknown
2015-11-25 07:15:00,Moline,IL,Other
2015-11-25 05:55:00,Eastsound,WA,Diamond
2015-11-25 05:30:00,Newport News,VA,Light
2015-11-25 04:15:00,Corvallis,OR,Light
2015-11-25 01:00:00,Capitol Heights,MD,Circle
2015-11-24 23:20:00,Tallahassee,FL,Diamond
2015-11-24 23:15:00,Phoenix,AZ,Flash
2015-11-24 23:00:00,Billerica,MA,Oval
2015-11-24 23:00:00,Muskego,WI,Oval
