# The data on UFO sightings was scraped from the monthly 
# UFO sightings reported to the National UFO Reporting Center 
# http://www.nuforc.org/webreports
# date range: 2017-01-01 to 2017-12-31
# NOTE: Data is largely unsanitized!
#
dtime,city,state,ufoshape
2017-05-12 20:05:00,Surprise,AZ,Fireball
2017-05-12 18:00:00,Denver,CO,Rectangle
2017-05-12 18:00:00,Denver,CO,Rectangle
2017-05-12 14:30:00,"Washington, DC",DC,Circle
2017-05-12 05:05:00,Salinas,CA,Light
2017-05-12 00:40:00,Enid,OK,Cylinder
2017-05-11 22:30:00,Zimmerman,MN,Circle
2017-05-11 22:00:00,Apache Junction,AZ,Changing
2017-05-11 21:00:00,Alamogordo,NM,Egg
2017-05-11 14:00:00,Sioux Falls,SD,Changing
2017-05-11 09:00:00,Provo,UT,Triangle
2017-05-11 04:23:00,Denver,CO,Triangle
2017-05-10 23:30:00,Joshua Tree,CA,Triangle
2017-05-10 22:00:00,Stanford,WA,Circle
2017-05-10 22:00:00,Everett,WA,Other
2017-05-10 22:00:00,Charlottesville,VA,Circle
2017-05-10 21:45:00,Philadelphia,PA,Oval
2017-05-10 21:45:00,Ontario,OH,Unknown
2017-05-10 21:00:00,((Location no revealed by witness)),CA,Light
2017-05-10 21:00:00,Tempe,AZ,Circle
2017-05-10 19:00:00,Canmore (Canada),AB,Chevron
2017-05-10 17:23:00,Higginsville,NY,Circle
2017-05-10 10:00:00,Canton,OH,Light
2017-05-10 08:00:00,Atlantic City,NJ,Disk
2017-05-10 05:35:00,Tampa,FL,Circle
2017-05-10 05:15:00,Cypress,TX,Light
2017-05-10 01:00:00,Memphis,TN,Teardrop
2017-05-10 00:00:00,Abilene,TX,Light
2017-05-09 23:30:00,Amanda,OH,Other
2017-05-09 23:15:00,Ft. Olgethorpe,GA,Oval
2017-05-09 23:00:00,Blackshear,GA,Fireball
2017-05-09 22:45:00,West Covina,CA,Flash
2017-05-09 22:00:00,Guilford,CT,Triangle
2017-05-09 20:05:00,Cape Coral,FL,Cylinder
2017-05-09 20:05:00,Cape Coral,FL,Cylinder
2017-05-09 20:05:00,Cape Coral,FL,Cylinder
2017-05-09 17:45:00,Brooklyn Park,MN,Cigar
2017-05-09 03:45:00,Harrington,WA,Light
2017-05-09 03:30:00,Auburn,AL,Circle
2017-05-08 22:30:00,Auburn,MI,Disk
2017-05-08 22:15:00,Northville,MI,Cigar
2017-05-08 20:04:00,Cape Coral,FL,Cylinder
2017-05-08 20:00:00,Atlanta,GA,Changing
2017-05-08 16:30:00,Atlanta,GA,Sphere
2017-05-08 13:00:00,Whitby (Canada),ON,Oval
2017-05-08 10:30:00,Durham,NC,Circle
2017-05-08 06:39:00,Ayia (Greece),,Disk
2017-05-08 05:30:00,Clearwater/Palm Harbor,FL,Circle
2017-05-08 05:15:00,Lake St. Louis,MO,Flash
2017-05-08 05:00:00,Greenville,NY,Unknown
2017-05-08 00:30:00,Wylie,TX,Light
2017-05-07 21:08:00,Los Angeles,CA,Fireball
2017-05-07 21:00:00,Marietta,GA,Sphere
2017-05-07 20:03:00,Naples,FL,Cylinder
2017-05-07 20:00:00,Montgomery,AL,Circle
2017-05-07 19:30:00,Warrior,AL,Circle
2017-05-07 19:00:00,District Heights,MD,Circle
2017-05-07 13:00:00,Walton,IN,Cylinder
2017-05-07 05:15:00,Comstock Park,MI,Formation
2017-05-07 04:56:00,Baltimore,MD,Light
2017-05-07 02:50:00,Tucson,AZ,Light
2017-05-07 01:20:00,Vineland,NJ,Triangle
2017-05-07 00:40:00,Port St. Lucie,FL,Light
2017-05-06 21:41:00,Minneapolis,MN,Formation
2017-05-06 21:15:00,Waxahachie,TX,Chevron
2017-05-06 21:13:00,Hibbing,MN,Fireball
