# S&P 500 companies
"ticker","callsign","company","sector"
"LEN","NYSE:LEN","Lennar Corp.","Consumer Discretionary"
"LVLT","NYSE:LVLT","Level 3 Communications","Telecommunication Services"
"LUK","NYSE:LUK","Leucadia National Corp.","Financials"
"LLY","NYSE:LLY","Lilly (Eli) & Co.","Health Care"
"LNC","NYSE:LNC","Lincoln National","Financials"
"LKQ","NASDAQ:LKQ","LKQ Corporation","Consumer Discretionary"
"LMT","NYSE:LMT","Lockheed Martin Corp.","Industrials"
"L","NYSE:L","Loews Corp.","Financials"
"LOW","NYSE:LOW","Lowe's Cos.","Consumer Discretionary"
"LYB","NYSE:LYB","LyondellBasell","Materials"
"MTB","NYSE:MTB","M&T Bank Corp.","Financials"
"MAC","NYSE:MAC","Macerich","Real Estate"
"M","NYSE:M","Macy's Inc.","Consumer Discretionary"
"MNK","NYSE:MNK","Mallinckrodt Plc","Health Care"
"MRO","NYSE:MRO","Marathon Oil Corp.","Energy"
"MPC","NYSE:MPC","Marathon Petroleum","Energy"
"MAR","NASDAQ:MAR","Marriott Int'l.","Consumer Discretionary"
"MMC","NYSE:MMC","Marsh & McLennan","Financials"
"MLM","NYSE:MLM","Martin Marietta Materials","Materials"
"MAS","NYSE:MAS","Masco Corp.","Industrials"
"MA","NYSE:MA","Mastercard Inc.","Information Technology"
"MAT","NASDAQ:MAT","Mattel Inc.","Consumer Discretionary"
"MKC","NYSE:MKC","McCormick & Co.","Consumer Staples"
"MCD","NYSE:MCD","McDonald's Corp.","Consumer Discretionary"
"MCK","NYSE:MCK","McKesson Corp.","Health Care"
"MDT","NYSE:MDT","Medtronic plc","Health Care"
"MRK","NYSE:MRK","Merck & Co.","Health Care"
"MET","NYSE:MET","MetLife Inc.","Financials"
"MTD","NYSE:MTD","Mettler Toledo","Health Care"
"KORS","NYSE:KORS","Michael Kors Holdings","Consumer Discretionary"
"MCHP","NASDAQ:MCHP","Microchip Technology","Information Technology"
"MU","NASDAQ:MU","Micron Technology","Information Technology"
"MSFT","NASDAQ:MSFT","Microsoft Corp.","Information Technology"
"MAA","NYSE:MAA","Mid-America Apartments","Real Estate"
"MHK","NYSE:MHK","Mohawk Industries","Consumer Discretionary"
"TAP","NYSE:TAP","Molson Coors Brewing Company","Consumer Staples"
"MDLZ","NASDAQ:MDLZ","Mondelez International","Consumer Staples"
"MON","NYSE:MON","Monsanto Co.","Materials"
"MNST","NASDAQ:MNST","Monster Beverage","Consumer Staples"
"MCO","NYSE:MCO","Moody's Corp","Financials"
"MS","NYSE:MS","Morgan Stanley","Financials"
"MOS","NYSE:MOS","The Mosaic Company","Materials"
"MSI","NYSE:MSI","Motorola Solutions Inc.","Information Technology"
"MUR","NYSE:MUR","Murphy Oil","Energy"
"MYL","NASDAQ:MYL","Mylan N.V.","Health Care"
"NDAQ","NASDAQ:NDAQ","Nasdaq, Inc.","Financials"
"NOV","NYSE:NOV","National Oilwell Varco Inc.","Energy"
"NAVI","NASDAQ:NAVI","Navient","Financials"
"NTAP","NASDAQ:NTAP","NetApp","Information Technology"
"NFLX","NASDAQ:NFLX","Netflix Inc.","Information Technology"
"NWL","NYSE:NWL","Newell Brands","Consumer Discretionary"
"NFX","NYSE:NFX","Newfield Exploration Co","Energy"
"NEM","NYSE:NEM","Newmont Mining Corporation","Materials"
"NWSA","NASDAQ:NWSA","News Corp. Class A","Consumer Discretionary"
"NWS","NASDAQ:NWS","News Corp. Class B","Consumer Discretionary"
"NEE","NYSE:NEE","NextEra Energy","Utilities"
"NLSN","NYSE:NLSN","Nielsen Holdings","Industrials"
"NKE","NYSE:NKE","Nike","Consumer Discretionary"
"NI","NYSE:NI","NiSource Inc.","Utilities"
"NBL","NYSE:NBL","Noble Energy Inc","Energy"
"JWN","NYSE:JWN","Nordstrom","Consumer Discretionary"
"NSC","NYSE:NSC","Norfolk Southern Corp.","Industrials"
"NTRS","NASDAQ:NTRS","Northern Trust Corp.","Financials"
"NOC","NYSE:NOC","Northrop Grumman Corp.","Industrials"
"NRG","NYSE:NRG","NRG Energy","Utilities"
"NUE","NYSE:NUE","Nucor Corp.","Materials"
"NVDA","NASDAQ:NVDA","Nvidia Corporation","Information Technology"
"ORLY","NASDAQ:ORLY","O'Reilly Automotive","Consumer Discretionary"
"OXY","NYSE:OXY","Occidental Petroleum","Energy"
"OMC","NYSE:OMC","Omnicom Group","Consumer Discretionary"
"OKE","NYSE:OKE","ONEOK","Energy"
"ORCL","NYSE:ORCL","Oracle Corp.","Information Technology"
"PCAR","NASDAQ:PCAR","PACCAR Inc.","Industrials"
"PH","NYSE:PH","Parker-Hannifin","Industrials"
"PDCO","NASDAQ:PDCO","Patterson Companies","Health Care"
"PAYX","NASDAQ:PAYX","Paychex Inc.","Information Technology"
"PYPL","NASDAQ:PYPL","PayPal","Information Technology"
"PNR","NYSE:PNR","Pentair Ltd.","Industrials"
"PBCT","NASDAQ:PBCT","People's United Financial","Financials"
"PEP","NYSE:PEP","PepsiCo Inc.","Consumer Staples"
"PKI","NYSE:PKI","PerkinElmer","Health Care"
"PRGO","NYSE:PRGO","Perrigo","Health Care"
"PFE","NYSE:PFE","Pfizer Inc.","Health Care"
"PCG","NYSE:PCG","PG&E Corp.","Utilities"
"PM","NYSE:PM","Philip Morris International","Consumer Staples"
"PSX","NYSE:PSX","Phillips 66","Energy"
"PNW","NYSE:PNW","Pinnacle West Capital","Utilities"
"PXD","NYSE:PXD","Pioneer Natural Resources","Energy"
"PNC","NYSE:PNC","PNC Financial Services","Financials"
"RL","NYSE:RL","Polo Ralph Lauren Corp.","Consumer Discretionary"
"PPG","NYSE:PPG","PPG Industries","Materials"
"PPL","NYSE:PPL","PPL Corp.","Utilities"
"PX","NYSE:PX","Praxair Inc.","Materials"
"PCLN","NASDAQ:PCLN","Priceline.com Inc","Consumer Discretionary"
"PFG","NYSE:PFG","Principal Financial Group","Financials"
"PG","NYSE:PG","Procter & Gamble","Consumer Staples"
"PGR","NYSE:PGR","Progressive Corp.","Financials"
"PLD","NYSE:PLD","Prologis","Real Estate"
"PRU","NYSE:PRU","Prudential Financial","Financials"
"PEG","NYSE:PEG","Public Serv. Enterprise Inc.","Utilities"
"PSA","NYSE:PSA","Public Storage","Real Estate"
